artist_uri,track_uri,track_name,track_pop,track_album,release_date,track_duration_ms,track_key,track_bpm,track_dance,track_energy,track_valence,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,artist_name,artist_pop,artist_genres,followers,artist_image,ranking,region,acquisition_date
spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv,spotify:track:3w0w2T288dec0mgeZZqoNN,CARNIVAL,97,VULTURES 1,2024-02-09,264324,1,148.144,0.594,0.811,0.311,-5.746,0.159,0.189,0,¥$,85,[],469140,https://i.scdn.co/image/ab6761610000e5ebf4e11052613eb67c380adaf8,1,USA,2024-03-18
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),91,eternal sunshine,2024-03-08,228639,5,115.83,0.645,0.663,0.287,-8.305,0.0447,0.0657,3.18e-05,Ariana Grande,93,['pop'],95082952,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,2,USA,2024-03-18
spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,96,DECIDE,2022-09-16,159246,2,159.982,0.689,0.454,0.912,-7.643,0.0584,0.0351,0.00259,Djo,78,"['pov: indie', 'psychedelic pop']",1006241,https://i.scdn.co/image/ab6761610000e5eb02fcc327683d53bea9583c69,3,USA,2024-03-18
spotify:artist:22wbnEMDvgVIAGdFeek6ET,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,100,Beautiful Things,2024-01-18,180304,10,105.029,0.472,0.471,0.219,-5.692,0.0603,0.151,0,Benson Boone,83,['singer-songwriter pop'],1695697,https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25,4,USA,2024-03-18
spotify:artist:40ZNYROS4zLfyyBSs2PGe2,spotify:track:4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),92,Zach Bryan,2023-08-25,227196,0,77.639,0.429,0.453,0.155,-7.746,0.0459,0.554,2e-06,Zach Bryan,88,['classic oklahoma country'],3479711,https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7,5,USA,2024-03-18
spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,95,Stick Season,2022-10-14,182347,9,117.913,0.662,0.488,0.817,-6.894,0.0682,0.782,0,Noah Kahan,87,['pov: indie'],2459018,https://i.scdn.co/image/ab6761610000e5eb336ec53126239813d38ff588,6,USA,2024-03-18
spotify:artist:2EMAnMvWE2eb56ToJVfCWs,spotify:track:57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,89,Whatever She Wants,2024-02-13,161342,9,96.028,0.82,0.487,0.431,-7.358,0.0959,0.102,0,Bryson Tiller,81,"['kentucky hip hop', 'r&b', 'rap']",8062830,https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428,7,USA,2024-03-18
spotify:artist:1URnnhqYAYcrqrcwql10ft,spotify:track:52eIcoLUM25zbQupAZYoFh,redrum,95,american dream,2024-01-12,270698,2,172.089,0.624,0.74,0.246,-8.445,0.0481,0.00529,0.000224,21 Savage,92,"['atl hip hop', 'hip hop', 'rap']",17627105,https://i.scdn.co/image/ab6761610000e5eba5e754a9c1fc7ad7ee01798b,8,USA,2024-03-18
spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,spotify:track:1bjeWoagtHmUKputLVyDxQ,Saturn,92,Saturn,2024-02-22,186192,1,177.937,0.411,0.619,0.337,-6.834,0.0368,0.62,0,SZA,90,"['pop', 'r&b', 'rap']",18385698,https://i.scdn.co/image/ab6761610000e5eb0895066d172e1f51f520bc65,9,USA,2024-03-18
spotify:artist:33qOK5uJ8AR2xuQQAhHump,spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,93,I've Tried Everything But Therapy (Part 1),2023-09-15,210689,9,159.92,0.561,0.604,0.242,-4.409,0.0337,0.199,1.9e-05,Teddy Swims,81,[],1609097,https://i.scdn.co/image/ab6761610000e5ebf76e11a5f3c08955fecea690,10,USA,2024-03-18
